,Season,Player,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,is_mvp
0,1997,Anita Maxwell,9,63,0,8,25,0.32,0,0,,8,25,0.32,3,8,0.375,2,12,8,4,0,6,5,19,10.6,0.333,0.32,0.0,0.32,4.3,12.3,24.8,3.5,0.0,17.4,25.6,72.0,89.0,-0.2,0.1,-0.1,-0.036,0
1,1997,Tammi Reiss,28,831,26,72,231,0.312,30,101,0.297,42,130,0.323,42,55,0.764,29,77,87,23,2,61,57,216,9.6,0.423,0.377,0.437,0.238,3.9,5.3,20.8,1.5,0.2,19.3,17.0,87.0,105.0,0.2,-0.7,-0.5,-0.024,0
2,1997,Catarina Pollini,13,94,0,8,22,0.364,0,0,,8,22,0.364,6,12,0.5,3,12,5,4,1,8,21,22,4.6,0.403,0.364,0.0,0.545,4.1,8.4,10.0,2.4,0.9,22.7,17.6,77.0,92.0,-0.1,0.1,0.0,0.005,0
3,1997,Bridget Pettis,28,842,28,107,320,0.334,41,134,0.306,66,186,0.355,97,108,0.898,36,107,78,49,11,82,57,352,17.0,0.479,0.398,0.419,0.338,5.0,7.8,20.4,3.1,1.1,18.2,24.0,94.0,88.0,1.5,1.7,3.2,0.151,0
4,1997,Kim Perrot,28,692,24,59,162,0.364,28,99,0.283,31,63,0.492,15,37,0.405,18,75,88,69,2,65,53,161,14.1,0.452,0.451,0.611,0.228,3.4,7.2,23.8,5.6,0.2,26.7,16.5,87.0,87.0,0.2,1.5,1.7,0.098,0
5,1997,Jasmina Perazic-Gipe,9,47,0,5,13,0.385,0,3,0.0,5,10,0.5,0,0,,2,11,4,3,0,7,1,10,8.2,0.385,0.385,0.231,0.0,5.2,14.4,16.5,3.4,0.0,35.0,19.2,62.0,83.0,-0.2,0.1,-0.1,-0.043,0
6,1997,Wendy Palmer,28,936,28,157,420,0.374,12,48,0.25,145,372,0.39,117,173,0.676,76,225,48,47,6,71,86,443,18.7,0.446,0.388,0.114,0.412,9.0,13.9,12.2,2.7,0.5,12.5,27.0,93.0,97.0,1.6,0.4,2.0,0.083,0
7,1997,Tina Nicholson,24,273,14,18,44,0.409,9,24,0.375,9,20,0.45,3,5,0.6,2,10,42,11,1,28,28,48,7.8,0.519,0.511,0.545,0.114,1.0,2.4,26.9,2.2,0.3,37.7,12.7,84.0,97.0,0.0,0.1,0.1,0.01,0
8,1997,Eva Nemcova,28,944,28,138,292,0.473,37,85,0.435,101,207,0.488,71,83,0.855,23,110,67,39,8,78,53,384,18.6,0.584,0.536,0.291,0.284,3.3,7.5,14.4,2.3,0.7,19.2,20.1,104.0,94.0,2.9,0.9,3.8,0.161,0
9,1997,Judy Mosley-McAfee,13,265,9,22,50,0.44,0,0,,22,50,0.44,11,11,1.0,24,47,10,8,2,24,30,55,8.4,0.501,0.44,0.0,0.22,11.0,11.2,7.0,1.6,0.6,30.4,13.3,86.0,103.0,0.0,-0.1,-0.1,-0.019,0
10,1997,Yolanda Moore,13,93,0,5,20,0.25,0,0,,5,20,0.25,6,12,0.5,6,13,1,1,0,7,9,16,0.7,0.316,0.25,0.0,0.6,8.4,9.2,1.9,0.6,0.0,21.7,16.3,65.0,98.0,-0.2,0.0,-0.2,-0.091,0
11,1997,Penny Moore,28,539,9,57,159,0.358,5,25,0.2,52,134,0.388,16,31,0.516,15,72,28,16,11,44,35,135,7.4,0.391,0.374,0.157,0.195,3.6,8.3,9.7,1.6,1.7,20.3,19.1,74.0,93.0,-0.9,0.6,-0.3,-0.025,0
12,1997,Pamela McGee,27,691,23,102,222,0.459,2,7,0.286,100,215,0.465,79,112,0.705,54,120,20,27,14,73,113,285,14.5,0.525,0.464,0.032,0.505,9.5,10.9,6.1,2.1,1.6,21.2,22.3,94.0,101.0,1.2,-0.1,1.0,0.06,0
13,1997,Laure Savasta,14,157,0,11,45,0.244,4,20,0.2,7,25,0.28,7,9,0.778,1,6,12,4,1,21,14,33,-0.5,0.337,0.289,0.444,0.2,0.8,2.4,13.8,1.4,0.5,30.0,19.9,61.0,106.0,-0.6,-0.2,-0.8,-0.204,0
14,1997,Rhonda Mapp,28,710,23,120,244,0.492,4,8,0.5,116,236,0.492,82,106,0.774,53,154,64,21,12,68,104,326,20.9,0.561,0.5,0.033,0.434,9.5,13.5,19.1,1.6,1.4,19.0,24.0,104.0,91.0,2.7,1.0,3.7,0.209,0
15,1997,Sharon Manning,28,438,5,58,125,0.464,0,0,,58,125,0.464,21,50,0.42,42,98,13,25,5,29,31,137,15.5,0.466,0.464,0.0,0.4,12.3,13.9,5.8,3.1,1.0,16.5,19.1,90.0,89.0,0.3,0.8,1.1,0.102,0
16,1997,Mwadi Mabika,21,325,1,53,136,0.39,7,38,0.184,46,98,0.469,13,24,0.542,22,54,22,23,6,27,48,126,14.2,0.43,0.415,0.279,0.176,8.7,10.0,12.8,3.7,1.4,15.6,23.7,86.0,90.0,0.1,0.5,0.6,0.078,0
17,1997,Rebecca Lobo,28,939,28,133,354,0.376,18,63,0.286,115,291,0.395,64,105,0.61,62,203,53,26,51,88,73,348,14.3,0.435,0.401,0.178,0.297,8.1,13.3,11.7,1.5,4.5,18.0,23.4,85.0,87.0,0.0,2.0,1.9,0.083,0
18,1997,Nancy Lieberman,25,279,0,25,77,0.325,6,26,0.231,19,51,0.373,8,10,0.8,6,32,40,14,2,39,34,64,6.4,0.393,0.364,0.338,0.13,2.5,7.1,29.1,2.7,0.6,32.4,19.4,70.0,88.0,-0.7,0.5,-0.2,-0.026,0
19,1997,Nicole Levesque,27,622,21,36,98,0.367,23,66,0.348,13,32,0.406,14,15,0.933,5,47,75,21,3,71,47,109,6.8,0.521,0.485,0.673,0.153,1.0,4.7,20.6,1.9,0.4,40.4,13.4,77.0,95.0,-0.6,0.5,-0.1,-0.007,0
20,1997,Lisa Leslie,28,902,28,160,371,0.431,12,46,0.261,148,325,0.455,113,189,0.598,63,266,74,39,59,109,99,445,21.6,0.49,0.447,0.124,0.509,9.0,17.8,15.9,2.2,5.1,19.4,27.7,91.0,85.0,1.4,2.2,3.5,0.157,0
21,1997,Greta Koss,13,268,10,15,29,0.517,2,3,0.667,13,26,0.5,12,16,0.75,12,37,10,9,4,18,15,44,9.1,0.61,0.552,0.103,0.552,5.0,8.0,7.0,1.8,1.2,33.3,9.0,91.0,102.0,0.1,-0.1,0.0,0.005,0
22,1997,Merlakia Jones,28,589,1,92,229,0.402,5,12,0.417,87,217,0.401,40,56,0.714,30,80,25,23,3,54,55,229,12.3,0.451,0.413,0.052,0.245,7.0,8.8,8.8,2.1,0.4,17.6,24.4,85.0,95.0,0.1,0.5,0.5,0.037,0
23,1997,Vickie Johnson,26,789,25,109,270,0.404,4,21,0.19,105,249,0.422,27,35,0.771,46,110,66,19,4,49,52,249,12.5,0.436,0.411,0.078,0.13,7.2,8.5,17.3,1.3,0.4,14.7,19.1,92.0,93.0,0.9,0.9,1.7,0.088,0
24,1997,Adrienne Johnson,25,194,0,22,58,0.379,2,4,0.5,20,54,0.37,7,9,0.778,8,22,9,5,1,27,13,53,4.7,0.428,0.397,0.069,0.155,5.6,7.3,8.8,1.4,0.4,30.4,21.4,68.0,97.0,-0.6,0.1,-0.5,-0.1,0
25,1997,Milica Vukadinovic,1,14,0,1,1,1.0,1,1,1.0,0,0,,0,0,,0,1,1,1,0,3,0,3,8.5,1.5,1.5,1.0,0.0,0.0,4.4,12.5,3.9,0.0,75.0,13.6,52.0,91.0,-0.1,0.0,0.0,-0.102,0
26,1997,Haixia Zheng,28,557,21,110,178,0.618,0,0,,110,178,0.618,39,59,0.661,32,123,17,11,20,46,77,259,20.2,0.635,0.618,0.0,0.331,7.4,13.4,6.2,1.0,2.8,18.4,19.9,107.0,92.0,2.0,0.8,2.7,0.195,0
27,1997,Corissa Yasen,19,188,0,23,57,0.404,0,1,0.0,23,56,0.411,6,12,0.5,12,20,6,18,2,16,17,52,11.1,0.417,0.404,0.018,0.211,7.8,6.7,6.4,5.1,0.8,20.4,18.6,79.0,98.0,-0.2,0.1,-0.1,-0.022,0
28,1997,Tiffany Woosley,26,397,4,29,88,0.33,16,50,0.32,13,38,0.342,2,8,0.25,8,28,29,18,1,30,19,76,7.3,0.415,0.42,0.568,0.091,2.6,4.7,13.4,2.5,0.2,24.7,14.3,80.0,95.0,-0.2,0.3,0.1,0.007,0
29,1997,Lynette Woodard,28,712,27,87,217,0.401,0,7,0.0,87,210,0.414,43,64,0.672,37,115,67,45,10,69,44,217,14.4,0.443,0.401,0.032,0.295,7.1,10.4,18.2,3.4,1.2,22.0,20.6,85.0,90.0,0.0,1.1,1.1,0.061,0
30,1997,Sophia Witherspoon,28,867,28,140,345,0.406,44,126,0.349,96,219,0.438,83,111,0.748,30,84,64,49,7,77,62,407,18.3,0.517,0.47,0.365,0.322,4.3,5.9,16.0,3.0,0.7,16.4,24.5,98.0,90.0,2.3,1.4,3.6,0.168,0
31,1997,Tara Williams,12,84,0,16,39,0.41,5,11,0.455,11,28,0.393,0,0,,1,8,3,3,0,4,9,37,13.8,0.474,0.474,0.282,0.0,1.4,5.9,9.1,1.9,0.0,9.3,23.0,92.0,91.0,0.1,0.1,0.2,0.11,0
32,1997,Kim Williams,28,608,10,88,229,0.384,9,34,0.265,79,195,0.405,41,53,0.774,34,81,60,38,7,57,83,226,14.2,0.448,0.404,0.148,0.231,6.2,7.7,22.2,3.3,0.9,18.4,22.7,88.0,99.0,0.4,0.0,0.4,0.026,0
33,1997,Debra Williams,10,116,2,11,43,0.256,4,18,0.222,7,25,0.28,1,2,0.5,3,13,9,2,0,6,9,27,4.4,0.308,0.302,0.419,0.047,3.3,7.0,14.2,1.0,0.0,12.0,20.4,71.0,96.0,-0.2,0.1,-0.2,-0.062,0
34,1997,Jamila Wideman,28,633,14,25,106,0.236,7,36,0.194,18,70,0.257,27,34,0.794,16,57,103,24,1,51,44,84,7.3,0.347,0.269,0.34,0.321,3.3,5.4,24.9,2.0,0.1,29.7,12.0,79.0,96.0,-0.4,0.4,0.0,-0.001,0
