,Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg, ,DWS,WS,WS/40
0,Monique Akoa Makani,PHO,G,16,390,13,50,111,0.45,22,46,0.478,28,65,0.431,38,44,0.864,2,35,42,19,2,32,48,160,2026,12.9,0.614,0.55,0.414,0.396,0.6,5.6,18.4,2.5,0.5,19.7,18.9,106.0,111.0,,0.3,0.7,0.069
1,Kayla Alexander,TOR,C,3,24,0,0,2,0.0,0,0,,0,2,0.0,3,4,0.75,1,5,1,1,1,2,3,3,2026,4.2,0.399,0.0,0.0,2.0,5.2,12.7,5.5,2.1,3.8,34.7,10.7,74.0,112.0,,0.0,0.0,-0.056
2,Julie Allemand,TOR,G,19,552,17,49,90,0.544,22,55,0.4,27,35,0.771,7,8,0.875,4,63,104,29,8,33,37,127,2026,14.2,0.679,0.667,0.611,0.089,0.9,7.0,28.3,2.6,1.3,26.1,10.2,123.0,114.0,,0.2,1.3,0.094
3,Rebecca Allen,NYL,F-G,10,108,0,3,22,0.136,3,17,0.176,0,5,0.0,6,6,1.0,3,12,6,2,4,6,18,15,2026,0.0,0.304,0.205,0.773,0.273,3.7,6.8,7.8,0.9,3.3,19.6,12.8,70.0,110.0,,0.1,-0.2,-0.069
4,Laeticia Amihere,GSV,F,22,258,0,25,62,0.403,3,6,0.5,22,56,0.393,18,35,0.514,33,78,27,9,17,19,37,71,2026,14.8,0.459,0.427,0.097,0.565,15.1,18.5,17.2,1.9,6.6,19.7,17.2,101.0,97.0,,0.7,0.8,0.121
5,Georgia Amoore,WAS,G,24,549,24,45,142,0.317,25,99,0.253,20,43,0.465,31,36,0.861,6,30,84,8,3,54,64,146,2026,4.5,0.462,0.405,0.697,0.254,1.4,3.3,25.8,0.8,0.5,25.5,17.3,89.0,110.0,,0.6,-0.2,-0.015
6,Nell Angloma,CON,F,22,234,0,32,68,0.471,2,13,0.154,30,55,0.545,24,41,0.585,13,32,13,10,7,20,42,90,2026,10.0,0.523,0.485,0.191,0.603,6.5,8.4,9.3,2.2,3.0,18.9,19.9,95.0,109.0,,0.3,0.1,0.018
7,Pauline Astier,NYL,G,25,606,20,88,160,0.55,12,33,0.364,76,127,0.598,58,67,0.866,14,70,92,24,5,43,76,246,2026,16.3,0.649,0.588,0.206,0.419,3.1,7.0,25.4,2.0,0.7,18.5,17.4,122.0,109.0,,0.7,2.4,0.158
8,Ariel Atkins,LAS,G,23,622,23,74,206,0.359,25,96,0.26,49,110,0.445,32,33,0.97,14,65,60,37,8,42,73,205,2026,8.9,0.465,0.42,0.466,0.16,2.7,6.3,14.5,2.9,1.2,16.0,18.4,91.0,113.0,,0.3,-0.4,-0.023
9,Shakira Austin,WAS,C,23,672,23,116,258,0.45,11,32,0.344,105,226,0.465,91,127,0.717,41,216,60,14,34,69,43,334,2026,17.9,0.532,0.471,0.124,0.492,7.7,19.5,17.8,1.1,4.9,18.0,25.6,100.0,99.0,,1.8,1.8,0.109
10,Valeriane Ayayi,PHO,F,21,353,5,39,100,0.39,14,47,0.298,25,53,0.472,61,71,0.859,16,61,29,10,3,34,42,153,2026,12.8,0.583,0.46,0.47,0.71,5.5,10.7,13.6,1.4,0.8,20.6,21.3,104.0,112.0,,0.3,0.5,0.059
11,Rachel Banham,CHI,G,23,304,2,32,95,0.337,22,71,0.31,10,24,0.417,8,10,0.8,3,22,23,4,6,20,28,94,2026,5.2,0.473,0.453,0.747,0.105,1.1,4.1,11.5,0.6,1.7,16.8,17.1,87.0,114.0,,0.1,-0.4,-0.046
12,Ornella Bankole,TOR,F,2,10,0,0,1,0.0,0,1,0.0,0,0,,2,2,1.0,1,2,0,1,0,0,2,2,2026,12.4,0.532,0.0,1.0,2.0,12.4,12.2,0.0,5.0,0.0,0.0,8.3,143.0,110.0,,0.0,0.0,0.154
13,Sarah Ashlee Barker,POR,G,25,638,14,107,214,0.5,36,90,0.4,71,124,0.573,26,35,0.743,21,114,60,23,9,51,64,276,2026,14.8,0.602,0.584,0.421,0.164,4.3,11.5,16.4,1.8,1.3,18.2,19.8,106.0,113.0,,0.4,1.0,0.06
14,Raegan Beers,CON,F,21,209,0,26,47,0.553,1,2,0.5,25,45,0.556,20,31,0.645,24,56,15,7,2,17,45,73,2026,13.3,0.602,0.564,0.043,0.66,13.5,16.4,11.8,1.7,0.9,21.9,16.3,109.0,109.0,,0.2,0.5,0.095
15,Kierstan Bell,LVA,F,19,213,0,15,59,0.254,9,42,0.214,6,17,0.353,2,2,1.0,7,30,16,5,8,9,18,41,2026,4.6,0.342,0.331,0.712,0.034,4.0,8.4,10.1,1.2,3.4,13.1,14.6,79.0,109.0,,0.2,-0.2,-0.039
16,Lauren Betts,WAS,C,24,393,1,64,119,0.538,0,0,,64,119,0.538,28,39,0.718,29,88,21,14,11,22,39,156,2026,16.2,0.573,0.538,0.0,0.328,9.3,13.6,10.4,1.9,2.7,13.9,18.1,111.0,102.0,,0.8,1.4,0.14
17,Chloe Bibby,CHI,F,3,33,0,5,13,0.385,2,8,0.25,3,5,0.6,2,2,1.0,0,1,4,1,0,2,4,14,2026,9.3,0.504,0.462,0.615,0.154,0.0,1.7,19.9,1.5,0.0,12.6,20.9,98.0,115.0,,0.0,0.0,0.006
18,Monique Billings,IND,F,25,514,25,56,113,0.496,5,15,0.333,51,98,0.52,51,69,0.739,52,132,29,19,15,19,60,168,2026,16.0,0.586,0.518,0.133,0.611,13.0,16.1,8.1,1.8,2.5,11.7,13.7,126.0,108.0,,0.7,2.1,0.165
19,DeWanna Bonner,PHO,F-G,27,723,16,90,233,0.386,28,117,0.239,62,116,0.534,47,55,0.855,17,149,34,29,18,23,45,255,2026,12.8,0.496,0.446,0.502,0.236,2.8,12.7,8.0,2.0,2.5,8.2,17.6,100.0,108.0,,1.0,1.0,0.055
20,Isobel Borlase,ATL,G,26,325,1,48,107,0.449,12,42,0.286,36,65,0.554,17,17,1.0,7,36,24,6,4,19,32,125,2026,10.4,0.546,0.505,0.393,0.159,2.5,6.9,11.8,0.9,1.2,14.2,17.4,106.0,110.0,,0.3,0.6,0.07
21,Aliyah Boston,IND,C-F,23,629,23,145,280,0.518,30,64,0.469,115,216,0.532,74,91,0.813,43,198,63,27,28,63,79,394,2026,23.7,0.616,0.571,0.229,0.325,8.8,19.8,17.3,2.1,3.8,16.4,26.3,114.0,104.0,,1.2,2.9,0.186
