,Season,Player,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40
0,1997,Anita Maxwell,10.6,0.333,0.32,0.0,0.32,4.3,12.3,24.8,3.5,0.0,17.4,25.6,72.0,89.0,-0.2,0.1,-0.1,-0.036
1,1997,Tammi Reiss,9.6,0.423,0.377,0.437,0.238,3.9,5.3,20.8,1.5,0.2,19.3,17.0,87.0,105.0,0.2,-0.7,-0.5,-0.024
2,1997,Catarina Pollini,4.6,0.403,0.364,0.0,0.545,4.1,8.4,10.0,2.4,0.9,22.7,17.6,77.0,92.0,-0.1,0.1,0.0,0.005
3,1997,Bridget Pettis,17.0,0.479,0.398,0.419,0.338,5.0,7.8,20.4,3.1,1.1,18.2,24.0,94.0,88.0,1.5,1.7,3.2,0.151
4,1997,Kim Perrot,14.1,0.452,0.451,0.611,0.228,3.4,7.2,23.8,5.6,0.2,26.7,16.5,87.0,87.0,0.2,1.5,1.7,0.098
5,1997,Jasmina Perazic-Gipe,8.2,0.385,0.385,0.231,0.0,5.2,14.4,16.5,3.4,0.0,35.0,19.2,62.0,83.0,-0.2,0.1,-0.1,-0.043
6,1997,Wendy Palmer,18.7,0.446,0.388,0.114,0.412,9.0,13.9,12.2,2.7,0.5,12.5,27.0,93.0,97.0,1.6,0.4,2.0,0.083
7,1997,Tina Nicholson,7.8,0.519,0.511,0.545,0.114,1.0,2.4,26.9,2.2,0.3,37.7,12.7,84.0,97.0,0.0,0.1,0.1,0.01
8,1997,Eva Nemcova,18.6,0.584,0.536,0.291,0.284,3.3,7.5,14.4,2.3,0.7,19.2,20.1,104.0,94.0,2.9,0.9,3.8,0.161
9,1997,Judy Mosley-McAfee,8.4,0.501,0.44,0.0,0.22,11.0,11.2,7.0,1.6,0.6,30.4,13.3,86.0,103.0,0.0,-0.1,-0.1,-0.019
10,1997,Yolanda Moore,0.7,0.316,0.25,0.0,0.6,8.4,9.2,1.9,0.6,0.0,21.7,16.3,65.0,98.0,-0.2,0.0,-0.2,-0.091
11,1997,Penny Moore,7.4,0.391,0.374,0.157,0.195,3.6,8.3,9.7,1.6,1.7,20.3,19.1,74.0,93.0,-0.9,0.6,-0.3,-0.025
12,1997,Pamela McGee,14.5,0.525,0.464,0.032,0.505,9.5,10.9,6.1,2.1,1.6,21.2,22.3,94.0,101.0,1.2,-0.1,1.0,0.06
13,1997,Laure Savasta,-0.5,0.337,0.289,0.444,0.2,0.8,2.4,13.8,1.4,0.5,30.0,19.9,61.0,106.0,-0.6,-0.2,-0.8,-0.204
14,1997,Rhonda Mapp,20.9,0.561,0.5,0.033,0.434,9.5,13.5,19.1,1.6,1.4,19.0,24.0,104.0,91.0,2.7,1.0,3.7,0.209
15,1997,Sharon Manning,15.5,0.466,0.464,0.0,0.4,12.3,13.9,5.8,3.1,1.0,16.5,19.1,90.0,89.0,0.3,0.8,1.1,0.102
16,1997,Mwadi Mabika,14.2,0.43,0.415,0.279,0.176,8.7,10.0,12.8,3.7,1.4,15.6,23.7,86.0,90.0,0.1,0.5,0.6,0.078
17,1997,Rebecca Lobo,14.3,0.435,0.401,0.178,0.297,8.1,13.3,11.7,1.5,4.5,18.0,23.4,85.0,87.0,0.0,2.0,1.9,0.083
18,1997,Nancy Lieberman,6.4,0.393,0.364,0.338,0.13,2.5,7.1,29.1,2.7,0.6,32.4,19.4,70.0,88.0,-0.7,0.5,-0.2,-0.026
19,1997,Nicole Levesque,6.8,0.521,0.485,0.673,0.153,1.0,4.7,20.6,1.9,0.4,40.4,13.4,77.0,95.0,-0.6,0.5,-0.1,-0.007
20,1997,Lisa Leslie,21.6,0.49,0.447,0.124,0.509,9.0,17.8,15.9,2.2,5.1,19.4,27.7,91.0,85.0,1.4,2.2,3.5,0.157
21,1997,Greta Koss,9.1,0.61,0.552,0.103,0.552,5.0,8.0,7.0,1.8,1.2,33.3,9.0,91.0,102.0,0.1,-0.1,0.0,0.005
22,1997,Merlakia Jones,12.3,0.451,0.413,0.052,0.245,7.0,8.8,8.8,2.1,0.4,17.6,24.4,85.0,95.0,0.1,0.5,0.5,0.037
23,1997,Vickie Johnson,12.5,0.436,0.411,0.078,0.13,7.2,8.5,17.3,1.3,0.4,14.7,19.1,92.0,93.0,0.9,0.9,1.7,0.088
24,1997,Adrienne Johnson,4.7,0.428,0.397,0.069,0.155,5.6,7.3,8.8,1.4,0.4,30.4,21.4,68.0,97.0,-0.6,0.1,-0.5,-0.1
25,1997,Milica Vukadinovic,8.5,1.5,1.5,1.0,0.0,0.0,4.4,12.5,3.9,0.0,75.0,13.6,52.0,91.0,-0.1,0.0,0.0,-0.102
26,1997,Haixia Zheng,20.2,0.635,0.618,0.0,0.331,7.4,13.4,6.2,1.0,2.8,18.4,19.9,107.0,92.0,2.0,0.8,2.7,0.195
27,1997,Corissa Yasen,11.1,0.417,0.404,0.018,0.211,7.8,6.7,6.4,5.1,0.8,20.4,18.6,79.0,98.0,-0.2,0.1,-0.1,-0.022
28,1997,Tiffany Woosley,7.3,0.415,0.42,0.568,0.091,2.6,4.7,13.4,2.5,0.2,24.7,14.3,80.0,95.0,-0.2,0.3,0.1,0.007
29,1997,Lynette Woodard,14.4,0.443,0.401,0.032,0.295,7.1,10.4,18.2,3.4,1.2,22.0,20.6,85.0,90.0,0.0,1.1,1.1,0.061
30,1997,Sophia Witherspoon,18.3,0.517,0.47,0.365,0.322,4.3,5.9,16.0,3.0,0.7,16.4,24.5,98.0,90.0,2.3,1.4,3.6,0.168
31,1997,Tara Williams,13.8,0.474,0.474,0.282,0.0,1.4,5.9,9.1,1.9,0.0,9.3,23.0,92.0,91.0,0.1,0.1,0.2,0.11
32,1997,Kim Williams,14.2,0.448,0.404,0.148,0.231,6.2,7.7,22.2,3.3,0.9,18.4,22.7,88.0,99.0,0.4,0.0,0.4,0.026
33,1997,Debra Williams,4.4,0.308,0.302,0.419,0.047,3.3,7.0,14.2,1.0,0.0,12.0,20.4,71.0,96.0,-0.2,0.1,-0.2,-0.062
34,1997,Jamila Wideman,7.3,0.347,0.269,0.34,0.321,3.3,5.4,24.9,2.0,0.1,29.7,12.0,79.0,96.0,-0.4,0.4,0.0,-0.001
35,1997,Sue Wicks,12.3,0.411,0.364,0.065,0.308,13.3,17.4,17.2,2.8,4.5,27.5,22.7,76.0,83.0,-0.6,0.9,0.4,0.046
36,1997,Umeki Webb,10.2,0.376,0.301,0.095,0.424,6.3,9.3,16.8,4.7,0.9,22.7,14.1,80.0,84.0,-0.5,2.1,1.6,0.083
37,1997,Teresa Weatherspoon,16.3,0.541,0.478,0.255,0.73,3.3,7.7,33.8,5.0,0.2,34.2,13.4,94.0,84.0,1.1,2.4,3.5,0.149
38,1997,Tia Jackson,11.2,0.44,0.363,0.11,0.342,9.5,11.0,16.1,3.8,2.2,30.6,17.0,79.0,85.0,-0.3,0.8,0.5,0.063
39,1997,Danielle Viglione,5.7,0.318,0.318,0.364,0.0,4.1,8.4,6.4,1.8,0.0,0.0,16.4,86.0,102.0,0.0,0.0,0.0,-0.01
40,1997,Molly Tuter,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,99.0,0.0,0.0,0.0,-0.648
41,1997,Trena Trice,12.9,0.599,0.565,0.087,0.489,11.6,12.3,1.2,1.4,2.2,26.4,20.1,92.0,90.0,0.4,0.5,0.9,0.11
42,1997,Chantel Tremitiere,8.8,0.45,0.37,0.189,0.459,2.9,6.8,23.0,2.8,0.1,34.1,15.2,79.0,101.0,-0.9,-0.3,-1.1,-0.042
43,1997,Penny Toler,16.2,0.489,0.436,0.112,0.257,3.6,6.3,29.5,2.1,0.3,22.1,23.6,92.0,95.0,1.4,0.7,2.1,0.093
44,1997,Michele Timms,16.1,0.478,0.419,0.481,0.353,2.8,6.3,29.2,3.9,0.3,19.0,19.6,96.0,86.0,1.8,2.1,3.9,0.163
45,1997,Tina Thompson,18.6,0.524,0.476,0.314,0.252,9.8,13.7,7.7,1.3,2.7,14.9,22.0,105.0,92.0,3.2,1.1,4.3,0.195
46,1997,Sheryl Swoopes,26.6,0.541,0.509,0.302,0.264,6.0,7.7,12.7,3.0,2.6,6.3,22.9,118.0,92.0,0.7,0.2,0.9,0.283
47,1997,Tora Suber,10.7,0.52,0.477,0.537,0.38,1.3,5.5,21.1,1.5,0.5,28.8,17.7,87.0,95.0,0.2,0.4,0.5,0.044
48,1997,Andrea Stinson,20.4,0.504,0.479,0.194,0.225,6.1,9.5,26.3,2.3,1.7,18.5,25.1,96.0,92.0,2.4,1.4,3.8,0.151
49,1997,Raegan Pebley,16.0,0.432,0.385,0.0,0.154,10.3,9.4,4.9,1.2,5.5,0.0,14.4,109.0,102.0,0.1,0.0,0.1,0.092
