,Season,Rank,Player,Age,Tm,First,Pts Won,Pts Max,award_share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1997,1,Cynthia Cooper,33,HOU,37.0,370.0,370,1.0,28,35.1,22.2,4.0,4.7,2.1,0.2,0.47,0.414,0.864,9.4,0.462
1,1997,2,Andrea Stinson,29,CHA,0.0,116.0,370,0.314,28,36.1,15.7,5.5,4.4,1.5,0.8,0.447,0.325,0.674,3.8,0.182
2,1997,3,Lisa Leslie,24,LAS,0.0,109.0,370,0.295,28,32.2,15.9,9.5,2.6,1.4,2.1,0.431,0.261,0.598,3.5,0.189
3,1997,4,Ruthie Bolton,29,SAC,0.0,107.0,370,0.289,23,35.3,19.4,5.8,2.6,2.3,0.0,0.402,0.344,0.768,3.8,0.224
4,1997,5,Michele Timms,31,PHO,0.0,20.0,370,0.054,27,35.8,12.1,3.7,5.0,2.6,0.1,0.336,0.345,0.76,3.9,0.195
5,1997,6T,Michelle Edwards,30,CLE,0.0,18.0,370,0.049,20,31.1,10.2,3.5,4.5,1.8,0.2,0.447,0.24,0.523,0.8,0.06
6,1997,6T,Wendy Palmer,22,UTA,0.0,18.0,370,0.049,28,33.4,15.8,8.0,1.7,1.7,0.2,0.374,0.25,0.676,2.0,0.1
7,1997,8,Eva Nemcova,24,CLE,0.0,10.0,370,0.027,28,33.7,13.7,3.9,2.4,1.4,0.3,0.473,0.435,0.855,3.8,0.193
8,1997,9T,Rebecca Lobo,23,NYL,0.0,9.0,370,0.024,28,33.5,12.4,7.3,1.9,0.9,1.8,0.376,0.286,0.61,1.9,0.099
9,1997,9T,Tina Thompson,21,HOU,0.0,9.0,370,0.024,28,31.6,13.2,6.6,1.1,0.8,1.0,0.418,0.37,0.838,4.3,0.234
10,1997,11,Elena Baranova,25,UTA,0.0,5.0,370,0.014,28,32.6,12.2,7.4,2.2,1.5,2.3,0.39,0.377,0.694,1.5,0.081
11,1997,12,Tamecka Dixon,21,LAS,0.0,1.0,370,0.003,27,26.5,11.9,3.0,2.0,1.8,0.2,0.456,0.423,0.773,3.3,0.219
0,1998,1,Cynthia Cooper,34,HOU,37.0,426.0,450,0.947,30,35.0,22.7,3.7,4.4,1.6,0.4,0.446,0.4,0.854,10.0,0.458
1,1998,2,Jennifer Gillom,33,PHO,8.0,303.0,450,0.673,30,32.1,20.9,7.3,1.4,1.7,0.3,0.465,0.378,0.703,6.0,0.301
2,1998,3,Lisa Leslie,25,LAS,0.0,163.0,450,0.362,28,32.1,19.6,10.2,2.5,1.5,2.1,0.478,0.391,0.768,5.7,0.306
3,1998,4,Andrea Stinson,30,CHA,0.0,57.0,450,0.127,30,34.9,15.0,4.6,4.5,1.8,0.5,0.418,0.282,0.75,4.2,0.193
4,1998,5,Teresa Weatherspoon,32,NYL,0.0,46.0,450,0.102,30,33.4,6.8,4.0,6.4,3.3,0.0,0.388,0.327,0.609,3.0,0.142
5,1998,6,Suzie McConnell Serio,31,CLE,0.0,45.0,450,0.1,28,31.5,8.6,2.2,6.4,1.8,0.2,0.455,0.408,0.729,2.1,0.112
6,1998,7,Sheryl Swoopes,26,HOU,0.0,26.0,450,0.058,29,32.3,15.6,5.1,2.1,2.5,0.5,0.427,0.36,0.826,6.0,0.306
7,1998,8,Vicky Bullett,30,CHA,0.0,16.0,450,0.036,30,31.6,13.3,6.5,1.5,2.2,1.5,0.441,0.154,0.826,4.2,0.21
8,1998,9,Isabelle Fijalkowski,25,CLE,0.0,15.0,450,0.033,28,28.8,13.7,6.9,2.1,0.6,1.0,0.547,0.4,0.821,4.0,0.24
9,1998,10,Eva Nemcova,25,CLE,0.0,14.0,450,0.031,30,32.4,11.9,3.7,2.2,1.1,0.7,0.466,0.452,0.893,3.3,0.165
10,1998,11,Korie Hlede,22,DET,0.0,9.0,450,0.02,27,33.8,14.1,5.2,2.7,0.8,0.0,0.391,0.392,0.806,2.2,0.114
11,1998,12,Cindy Brown,32,DET,0.0,8.0,450,0.018,30,32.2,11.8,10.0,1.8,1.7,0.7,0.47,0.328,0.707,5.2,0.261
12,1998,13,Janice Braxton,35,CLE,0.0,5.0,450,0.011,30,28.0,9.8,5.6,2.5,1.7,0.5,0.495,0.333,0.755,3.6,0.206
13,1998,14,Tina Thompson,22,HOU,0.0,4.0,450,0.009,27,32.4,12.7,7.1,0.9,1.1,0.9,0.419,0.359,0.851,5.0,0.273
14,1998,15,Tracy Reid,21,CHA,0.0,3.0,450,0.007,30,32.2,13.8,5.2,1.5,1.3,0.4,0.487,0.0,0.613,3.6,0.179
15,1998,16,Nikki McCray,26,WAS,0.0,2.0,450,0.004,29,33.4,17.7,2.9,3.1,1.5,0.1,0.418,0.315,0.748,0.1,0.003
16,1998,17,Wendy Palmer,23,UTA,0.0,1.0,450,0.002,28,27.2,13.5,6.6,1.1,0.6,0.2,0.472,0.353,0.653,2.2,0.139
0,1999,1,Yolanda Griffith,28,SAC,23.0,397.0,510,0.778,29,33.8,18.8,11.3,1.6,2.5,1.9,0.541,0.0,0.617,8.1,0.397
1,1999,2,Sheryl Swoopes,27,HOU,15.0,364.0,510,0.714,32,34.4,18.3,6.3,4.0,2.4,1.4,0.462,0.337,0.82,8.1,0.353
2,1999,3,Cynthia Cooper,35,HOU,13.0,324.0,510,0.635,31,35.5,22.1,2.8,5.2,1.4,0.4,0.463,0.335,0.891,9.2,0.402
3,1999,4,Lisa Leslie,26,LAS,0.0,96.0,510,0.188,32,29.1,15.6,7.8,1.8,1.1,1.5,0.467,0.423,0.731,4.4,0.227
4,1999,5,Natalie Williams,28,UTA,0.0,85.0,510,0.167,28,34.1,18.0,9.2,0.9,1.4,0.8,0.519,0.0,0.754,4.9,0.248
5,1999,6,Chamique Holdsclaw,21,WAS,0.0,24.0,510,0.047,31,34.2,16.9,7.9,2.4,1.2,0.9,0.437,0.172,0.773,3.1,0.141
6,1999,7,Shannon Johnson,24,ORL,0.0,9.0,510,0.018,32,35.8,14.0,4.7,4.4,1.7,0.4,0.447,0.364,0.686,3.5,0.146
7,1999,8,Kym Hampton,36,NYL,0.0,6.0,510,0.012,32,26.8,9.2,5.6,0.7,0.7,0.6,0.431,0.5,0.747,2.5,0.141
8,1999,9,Dawn Staley,28,CHA,0.0,5.0,510,0.01,32,33.3,11.5,2.3,5.5,1.2,0.1,0.415,0.317,0.934,3.0,0.134
9,1999,10,Sandy Brondello,30,DET,0.0,4.0,510,0.008,32,31.3,13.3,2.1,2.3,0.8,0.2,0.438,0.487,0.847,2.6,0.125
10,1999,11T,Jennifer Gillom,34,PHO,0.0,3.0,510,0.006,32,34.2,15.2,5.8,1.7,1.2,0.2,0.381,0.25,0.797,2.6,0.113
11,1999,11T,Teresa Weatherspoon,33,NYL,0.0,3.0,510,0.006,32,33.9,7.2,3.3,6.4,2.4,0.1,0.421,0.378,0.679,4.2,0.185
12,1999,13T,Nikki McCray,27,WAS,0.0,2.0,510,0.004,32,32.6,17.5,2.7,2.4,1.1,0.0,0.424,0.301,0.806,2.9,0.133
13,1999,13T,Ticha Penicheiro,24,SAC,0.0,2.0,510,0.004,32,35.0,7.3,4.8,7.1,2.1,0.2,0.32,0.158,0.664,1.0,0.042
14,1999,15T,Brandy Reed,21,MIN,0.0,1.0,510,0.002,25,30.3,16.1,6.0,2.6,1.2,0.7,0.459,0.342,0.757,2.7,0.173
15,1999,15T,Tina Thompson,23,HOU,0.0,1.0,510,0.002,32,33.6,12.2,6.4,0.9,1.0,1.0,0.419,0.351,0.782,3.8,0.171
0,2000,1,Sheryl Swoopes,28,HOU,38.0,527.0,620,0.85,31,35.2,20.7,6.3,3.8,2.8,1.1,0.506,0.374,0.821,9.8,0.433
1,2000,2,Lisa Leslie,27,LAS,19.0,450.0,620,0.726,32,32.1,17.8,9.6,1.9,1.0,2.3,0.458,0.219,0.824,6.1,0.286
2,2000,3,Yolanda Griffith,29,SAC,1.0,226.0,620,0.365,32,32.1,16.3,10.3,1.5,2.6,1.9,0.535,,0.706,7.8,0.365
3,2000,4,Natalie Williams,29,UTA,2.0,125.0,620,0.202,29,35.8,18.7,11.6,1.8,1.2,0.6,0.49,0.6,0.798,6.4,0.296
4,2000,5,Cynthia Cooper,36,HOU,1.0,84.0,620,0.135,31,35.0,17.7,2.7,5.0,1.3,0.2,0.459,0.355,0.875,7.0,0.311
5,2000,6,Tina Thompson,24,HOU,0.0,46.0,620,0.074,32,34.0,16.9,7.7,1.5,1.5,0.8,0.469,0.417,0.837,7.2,0.316
6,2000,7,Katie Smith,25,MIN,0.0,42.0,620,0.068,32,37.3,20.2,2.9,2.8,1.4,0.2,0.421,0.379,0.869,6.4,0.256
7,2000,8,Brandy Reed,22,PHO,0.0,31.0,620,0.05,32,34.1,19.0,5.9,2.7,2.1,0.7,0.507,0.419,0.901,7.3,0.324
8,2000,9T,Chamique Holdsclaw,22,WAS,0.0,18.0,620,0.029,32,35.3,17.5,7.5,2.5,1.5,0.6,0.465,0.256,0.68,3.5,0.15
9,2000,9T,Tari Phillips,29,NYL,0.0,18.0,620,0.029,31,31.5,13.8,8.0,0.9,1.9,0.7,0.467,0.25,0.654,3.8,0.186
10,2000,11,Andrea Stinson,32,CHA,1.0,11.0,620,0.018,32,35.1,17.7,4.3,3.8,1.7,0.7,0.462,0.358,0.739,3.4,0.146
11,2000,12,Jennifer Azzi,31,UTA,0.0,7.0,620,0.011,15,37.3,9.6,2.7,6.1,0.8,0.3,0.452,0.417,0.93,1.7,0.146
12,2000,13T,Adrienne Johnson,25,ORL,0.0,6.0,620,0.01,32,34.4,13.6,2.8,1.7,0.8,0.1,0.445,0.351,0.895,2.6,0.113
13,2000,13T,Mwadi Mabika,23,LAS,0.0,6.0,620,0.01,32,29.4,12.3,5.6,3.1,1.8,0.6,0.388,0.384,0.82,5.5,0.28
14,2000,15,Teresa Weatherspoon,34,NYL,0.0,5.0,620,0.008,32,33.7,6.4,3.4,6.4,2.0,0.2,0.438,0.25,0.741,3.7,0.165
15,2000,16,Betty Lennox,23,MIN,0.0,3.0,620,0.005,32,30.8,16.9,5.6,2.6,1.7,0.3,0.427,0.396,0.8,3.7,0.182
16,2000,17,Taj McWilliams-Franklin,29,ORL,0.0,2.0,620,0.003,32,34.3,13.7,7.6,1.7,1.8,1.0,0.524,0.294,0.713,4.7,0.207
17,2000,18T,Adrienne Goodson,33,UTA,0.0,1.0,620,0.002,29,32.0,17.2,5.7,2.4,1.4,0.2,0.48,0.276,0.687,3.2,0.163
18,2000,18T,Shannon Johnson,25,ORL,0.0,1.0,620,0.002,32,35.2,11.9,4.8,5.3,1.8,0.2,0.395,0.333,0.743,3.3,0.142
19,2000,18T,Nikki McCray,28,WAS,0.0,1.0,620,0.002,32,32.7,15.5,1.8,2.7,1.4,0.2,0.434,0.331,0.769,3.1,0.141
20,2000,18T,DeLisha Milton-Jones,25,LAS,0.0,1.0,620,0.002,32,30.7,11.8,6.1,2.1,1.4,0.9,0.512,0.25,0.745,4.7,0.229
21,2000,18T,Sheri Sam,25,MIA,0.0,1.0,620,0.002,31,29.2,12.8,4.3,2.1,1.1,0.2,0.387,0.292,0.67,2.1,0.113
0,2001,1,Lisa Leslie,28,LAS,51.0,563.0,600,0.938,31,33.3,19.5,9.6,2.4,1.1,2.3,0.473,0.367,0.736,7.0,0.327
1,2001,2,Tina Thompson,25,HOU,,355.0,600,0.592,30,36.7,19.3,7.8,1.9,1.0,0.7,0.377,0.293,0.84,5.0,0.216
2,2001,3,Yolanda Griffith,30,SAC,,190.0,600,0.317,32,33.7,16.2,11.2,1.7,2.0,1.2,0.522,,0.72,8.4,0.373
3,2001,4,Katie Smith,26,MIN,,178.0,600,0.297,32,38.6,23.1,3.8,2.2,0.7,0.2,0.393,0.354,0.895,7.5,0.292
