,Season,Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1997,Anita Maxwell,CLE,F,9,63,0,8,25,0.32,0,0,,8,25,0.32,3,8,0.375,2,12,8,4,0,6,5,19
1,1997,Tammi Reiss,UTA,G,28,831,26,72,231,0.312,30,101,0.297,42,130,0.323,42,55,0.764,29,77,87,23,2,61,57,216
2,1997,Catarina Pollini,HOU,F,13,94,0,8,22,0.364,0,0,,8,22,0.364,6,12,0.5,3,12,5,4,1,8,21,22
3,1997,Bridget Pettis,PHO,G,28,842,28,107,320,0.334,41,134,0.306,66,186,0.355,97,108,0.898,36,107,78,49,11,82,57,352
4,1997,Kim Perrot,HOU,G,28,692,24,59,162,0.364,28,99,0.283,31,63,0.492,15,37,0.405,18,75,88,69,2,65,53,161
5,1997,Jasmina Perazic-Gipe,NYL,G-F,9,47,0,5,13,0.385,0,3,0.0,5,10,0.5,0,0,,2,11,4,3,0,7,1,10
6,1997,Wendy Palmer,UTA,F,28,936,28,157,420,0.374,12,48,0.25,145,372,0.39,117,173,0.676,76,225,48,47,6,71,86,443
7,1997,Tina Nicholson,CLE,G,24,273,14,18,44,0.409,9,24,0.375,9,20,0.45,3,5,0.6,2,10,42,11,1,28,28,48
8,1997,Eva Nemcova,CLE,F,28,944,28,138,292,0.473,37,85,0.435,101,207,0.488,71,83,0.855,23,110,67,39,8,78,53,384
9,1997,Judy Mosley-McAfee,SAC,F,13,265,9,22,50,0.44,0,0,,22,50,0.44,11,11,1.0,24,47,10,8,2,24,30,55
10,1997,Yolanda Moore,HOU,F-C,13,93,0,5,20,0.25,0,0,,5,20,0.25,6,12,0.5,6,13,1,1,0,7,9,16
11,1997,Penny Moore,CHA,F,28,539,9,57,159,0.358,5,25,0.2,52,134,0.388,16,31,0.516,15,72,28,16,11,44,35,135
12,1997,Pamela McGee,SAC,F-C,27,691,23,102,222,0.459,2,7,0.286,100,215,0.465,79,112,0.705,54,120,20,27,14,73,113,285
13,1997,Laure Savasta,SAC,G,14,157,0,11,45,0.244,4,20,0.2,7,25,0.28,7,9,0.778,1,6,12,4,1,21,14,33
14,1997,Rhonda Mapp,CHA,C,28,710,23,120,244,0.492,4,8,0.5,116,236,0.492,82,106,0.774,53,154,64,21,12,68,104,326
15,1997,Sharon Manning,CHA,F-C,28,438,5,58,125,0.464,0,0,,58,125,0.464,21,50,0.42,42,98,13,25,5,29,31,137
16,1997,Mwadi Mabika,LAS,G,21,325,1,53,136,0.39,7,38,0.184,46,98,0.469,13,24,0.542,22,54,22,23,6,27,48,126
17,1997,Rebecca Lobo,NYL,C,28,939,28,133,354,0.376,18,63,0.286,115,291,0.395,64,105,0.61,62,203,53,26,51,88,73,348
18,1997,Nancy Lieberman,PHO,G,25,279,0,25,77,0.325,6,26,0.231,19,51,0.373,8,10,0.8,6,32,40,14,2,39,34,64
19,1997,Nicole Levesque,CHA,G,27,622,21,36,98,0.367,23,66,0.348,13,32,0.406,14,15,0.933,5,47,75,21,3,71,47,109
20,1997,Lisa Leslie,LAS,C,28,902,28,160,371,0.431,12,46,0.261,148,325,0.455,113,189,0.598,63,266,74,39,59,109,99,445
21,1997,Greta Koss,UTA,F,13,268,10,15,29,0.517,2,3,0.667,13,26,0.5,12,16,0.75,12,37,10,9,4,18,15,44
22,1997,Merlakia Jones,CLE,G,28,589,1,92,229,0.402,5,12,0.417,87,217,0.401,40,56,0.714,30,80,25,23,3,54,55,229
23,1997,Vickie Johnson,NYL,G-F,26,789,25,109,270,0.404,4,21,0.19,105,249,0.422,27,35,0.771,46,110,66,19,4,49,52,249
24,1997,Adrienne Johnson,CLE,G,25,194,0,22,58,0.379,2,4,0.5,20,54,0.37,7,9,0.778,8,22,9,5,1,27,13,53
25,1997,Milica Vukadinovic,CHA,G,1,14,0,1,1,1.0,1,1,1.0,0,0,,0,0,,0,1,1,1,0,3,0,3
26,1997,Haixia Zheng,LAS,C,28,557,21,110,178,0.618,0,0,,110,178,0.618,39,59,0.661,32,123,17,11,20,46,77,259
27,1997,Corissa Yasen,SAC,G,19,188,0,23,57,0.404,0,1,0.0,23,56,0.411,6,12,0.5,12,20,6,18,2,16,17,52
28,1997,Tiffany Woosley,HOU,G,26,397,4,29,88,0.33,16,50,0.32,13,38,0.342,2,8,0.25,8,28,29,18,1,30,19,76
29,1997,Lynette Woodard,CLE,G,28,712,27,87,217,0.401,0,7,0.0,87,210,0.414,43,64,0.672,37,115,67,45,10,69,44,217
30,1997,Sophia Witherspoon,NYL,G,28,867,28,140,345,0.406,44,126,0.349,96,219,0.438,83,111,0.748,30,84,64,49,7,77,62,407
31,1997,Tara Williams,PHO,G,12,84,0,16,39,0.41,5,11,0.455,11,28,0.393,0,0,,1,8,3,3,0,4,9,37
32,1997,Kim Williams,UTA,G,28,608,10,88,229,0.384,9,34,0.265,79,195,0.405,41,53,0.774,34,81,60,38,7,57,83,226
33,1997,Debra Williams,CHA,G,10,116,2,11,43,0.256,4,18,0.222,7,25,0.28,1,2,0.5,3,13,9,2,0,6,9,27
34,1997,Jamila Wideman,LAS,G,28,633,14,25,106,0.236,7,36,0.194,18,70,0.257,27,34,0.794,16,57,103,24,1,51,44,84
35,1997,Sue Wicks,NYL,F,28,332,0,38,107,0.355,2,7,0.286,36,100,0.36,22,33,0.667,36,94,29,17,18,46,52,100
36,1997,Umeki Webb,PHO,G-F,28,775,17,47,158,0.297,1,15,0.067,46,143,0.322,46,67,0.687,42,117,68,68,8,55,92,141
37,1997,Teresa Weatherspoon,NYL,G,28,924,28,64,137,0.467,3,35,0.086,61,102,0.598,65,100,0.65,25,116,173,85,2,94,72,196
38,1997,Tia Jackson,PHO,F,26,320,6,25,73,0.342,3,8,0.375,22,65,0.338,21,25,0.84,26,57,26,23,8,37,31,74
39,1997,Danielle Viglione,SAC,G,7,30,0,3,11,0.273,1,4,0.25,2,7,0.286,0,0,,1,4,1,1,0,0,5,7
40,1997,Molly Tuter,PHO,G,3,3,0,0,2,0.0,0,0,,0,2,0.0,0,0,,0,0,0,0,0,0,0,0
41,1997,Trena Trice,NYL,F-C,28,340,0,51,92,0.554,2,8,0.25,49,84,0.583,30,45,0.667,32,68,2,9,9,40,65,134
