,Season,Player,PLUS_MINUS
0,1997,Adrienne Johnson,29
1,1997,Andrea Congreaves,50
2,1997,Andrea Stinson,54
3,1997,Anita Maxwell,-5
4,1997,Bridget Pettis,91
5,1997,Bridgette Gordon,-179
6,1997,Cassandra Crumpton-Moorer,10
7,1997,Catarina Pollini,19
8,1997,Chantel Tremitiere,-187
9,1997,Corissa Yasen,-57
10,1997,Cynthia Cooper,176
11,1997,Daedra Charles,0
12,1997,Danielle Viglione,-5
13,1997,Deborah Carter,-92
14,1997,Debra Williams,-21
15,1997,Dena Head,-76
16,1997,Denique Graves,5
17,1997,Elena Baranova,-190
18,1997,Eva Nemcova,8
19,1997,Fran Harris,19
20,1997,Greta Koss,-72
21,1997,Haixia Zheng,62
22,1997,Heidi Burge,1
23,1997,Isabelle Fijalkowski,68
24,1997,Jamila Wideman,-33
25,1997,Janeth Arcain,107
26,1997,Janice Braxton,19
27,1997,Jasmina Perazic-Gipe,-7
28,1997,Jennifer Gillom,56
29,1997,Jenny Boucek,-42
30,1997,Jessie Hicks,-67
31,1997,Judy Mosley-McAfee,-20
32,1997,Karen Booker,-89
33,1997,Katasha Artis,-3
34,1997,Katrina Colleton,106
35,1997,Kim Gessig,-8
36,1997,Kim Perrot,155
37,1997,Kim Williams,-145
38,1997,Kisha Ford,-23
39,1997,Kym Hampton,61
40,1997,Lady Grooms,-193
41,1997,Latasha Byears,-123
42,1997,Laure Savasta,-74
43,1997,Linda Burgess,-62
44,1997,Lisa Leslie,100
45,1997,Lynette Woodard,55
46,1997,Marcie Alberts,8
47,1997,Margo Clark,-7
48,1997,Marlies Askamp,76
49,1997,Megan Compain,-11
50,1997,Merlakia Jones,11
51,1997,Michele Timms,133
52,1997,Michelle Edwards,97
53,1997,Mikiko Hagiwara,-22
54,1997,Milica Vukadinovic,1
55,1997,Molly Tuter,0
56,1997,Monique Ambers,7
57,1997,Mwadi Mabika,-27
58,1997,Nancy Lieberman,-5
59,1997,Nicole Levesque,16
60,1997,Pam McGee,-116
61,1997,Penny Moore,49
62,1997,Penny Toler,44
63,1997,Pietra Gay,1
64,1997,Raegan Scott,-4
65,1997,Rebecca Lobo,77
66,1997,Rhonda Blades,-49
67,1997,Rhonda Mapp,-12
68,1997,Rushia Brown,37
69,1997,Ruthie Bolton,-104
70,1997,Ryneldi Becenti,-2
71,1997,Sharon Manning,26
72,1997,Sheryl Swoopes,28
73,1997,Sophia Witherspoon,81
74,1997,Sue Wicks,42
75,1997,Susie Hopson-Shelton,-2
76,1997,Tajama Abraham,-92
77,1997,Tamecka Dixon,141
78,1997,Tammi Reiss,-288
79,1997,Tammy Jackson,70
80,1997,Tara Williams,-9
81,1997,Teresa Weatherspoon,123
82,1997,Tia Jackson,3
83,1997,Tiffany Woosley,26
84,1997,Tina Nicholson,-35
85,1997,Tina Thompson,159
86,1997,Toni Foster,25
87,1997,Tora Suber,-34
88,1997,Travesa Gant,1
89,1997,Trena Trice-Hill,-31
90,1997,Umeki Webb,131
91,1997,Vickie Johnson,71
92,1997,Vicky Bullett,56
93,1997,Wanda Guyton,144
94,1997,Wendy Palmer,-253
95,1997,Yolanda Moore,-19
96,1997,Yvette Angel,-40
97,1998,Adia Barnes,-59
98,1998,Adrienne Johnson,-10
99,1998,Adrienne Shuler,-121
100,1998,Albena Branzova,-28
101,1998,Alessandra Santos de Olive,-120
102,1998,Alicia Thompson,-62
103,1998,Allison Feaster,-11
104,1998,Amaya Valdemoro,-1
105,1998,Andrea Congreaves,0
106,1998,Andrea Kuklova,42
107,1998,Andrea Stinson,89
108,1998,Aneta Kausaite,0
109,1998,Angela Hamblin,5
110,1998,Angela Jackson,-15
111,1998,Brandy Reed,64
112,1998,Bridget Pettis,164
113,1998,Bridgette Gordon,-60
114,1998,Carla Boyd,62
115,1998,Chantel Tremitiere,-83
116,1998,Christy Smith,5
117,1998,Cindy Blodgett,5
118,1998,Cindy Brown,71
119,1998,Coquese Washington,17
120,1998,Cynthia Cooper,358
121,1998,Deborah Carter,-175
122,1998,Dena Head,-91
123,1998,Elena Baranova,-73
124,1998,Elisabeth Cebrian,21
125,1998,Erin Alexander,-68
126,1998,Eugenia Rycraw,-10
127,1998,Eva Nemcova,100
128,1998,Fran Harris,-62
129,1998,Franthea Price,-34
130,1998,Gergana Branzova,-57
131,1998,Haixia Zheng,-8
132,1998,Heidi Burge,-165
133,1998,Isabelle Fijalkowski,93
134,1998,Jamila Wideman,0
135,1998,Janeth Arcain,209
136,1998,Janice Braxton,87
137,1998,Jennifer Gillom,157
138,1998,Karen Booker,-7
139,1998,Katrina Colleton,-33
140,1998,Kelly Boucher,15
141,1998,Keri Chaconas,-119
142,1998,Kim Perrot,293
143,1998,Kim Williams,-56
144,1998,Kisha Ford,6
145,1998,Korie Hlede,39
146,1998,Kristi Harrower,54
